date	range_ID	range	TAT
2014-11-18T04:15	2302	1096.809	440.0
2014-11-18T04:15	2303	1603.793	320.0
2014-11-18T04:15	2304	1093.684	640.0
2014-11-18T04:15	2305	0.0	280.0
2014-11-18T04:15	2307	1245.3	80.0
2014-11-18T06:15	2302	1096.812	440.0
2014-11-18T06:15	2303	1603.776	320.0
2014-11-18T06:15	2304	1093.665	640.0
2014-11-18T06:15	2305	757.645	280.0
2014-11-18T06:15	2307	1245.29	80.0
2014-11-18T08:15	2302	1096.786	440.0
2014-11-18T08:15	2303	1603.759	320.0
2014-11-18T08:15	2304	1093.672	640.0
2014-11-18T08:15	2305	757.644	280.0
2014-11-18T08:15	2307	1245.291	80.0
2014-11-18T10:15	2302	1096.786	440.0
2014-11-18T10:15	2303	1603.77	320.0
2014-11-18T10:15	2304	1093.671	640.0
2014-11-18T10:15	2305	757.639	280.0
2014-11-18T10:15	2307	1245.292	80.0
2014-11-18T12:15	2302	1096.797	440.0
2014-11-18T12:15	2303	1603.774	320.0
2014-11-18T12:15	2304	1093.67	640.0
2014-11-18T12:15	2305	757.645	280.0
2014-11-18T12:15	2307	1245.291	80.0
2014-11-18T14:15	2302	1096.803	440.0
2014-11-18T14:15	2303	1603.77	320.0
2014-11-18T14:15	2304	1093.664	640.0
2014-11-18T14:15	2305	757.645	280.0
2014-11-18T14:15	2307	1245.292	80.0
2014-11-18T16:15	2302	1096.786	440.0
2014-11-18T16:15	2303	1603.762	320.0
2014-11-18T16:15	2304	1093.675	640.0
2014-11-18T16:15	2305	757.638	280.0
2014-11-18T16:15	2307	1245.29	80.0
2014-11-18T18:15	2302	1096.793	440.0
2014-11-18T18:15	2303	1603.761	320.0
2014-11-18T18:15	2304	1093.672	640.0
2014-11-18T18:15	2305	757.643	280.0
2014-11-18T18:15	2307	1245.288	80.0
2014-11-18T20:15	2302	1096.798	440.0
2014-11-18T20:15	2303	0.0	320.0
2014-11-18T20:15	2304	1093.668	640.0
2014-11-18T20:15	2305	757.644	280.0
2014-11-18T20:15	2307	1245.292	80.0
2014-11-18T22:15	2302	1096.792	440.0
2014-11-18T22:15	2303	0.0	320.0
2014-11-18T22:15	2304	1093.673	640.0
2014-11-18T22:15	2305	757.638	280.0
2014-11-18T22:15	2307	1245.289	80.0
2014-11-19T00:15	2302	1096.796	440.0
2014-11-19T00:15	2303	1603.767	320.0
2014-11-19T00:15	2304	1093.673	640.0
2014-11-19T00:15	2305	757.64	280.0
2014-11-19T00:15	2307	1245.291	80.0
2014-11-19T02:15	2302	1096.791	440.0
2014-11-19T02:15	2303	1603.759	320.0
2014-11-19T02:15	2304	1093.673	640.0
2014-11-19T02:15	2305	757.644	280.0
